source,target,source_lexname,target_lexname
ls:fr:node:26291,ls:fr:node:43932,ami,avoir
ls:fr:node:26291,ls:fr:node:43735,ami,posséder
ls:fr:node:26709,ls:fr:node:29510,chantage,subir
ls:fr:node:27309,ls:fr:node:43932,ennemi,avoir
ls:fr:node:27791,ls:fr:node:53627,haine,inspirer
ls:fr:node:27791,ls:fr:node:44107,haine,susciter
ls:fr:node:28495,ls:fr:node:43932,nom,avoir
ls:fr:node:28495,ls:fr:node:55302,nom,porter
ls:fr:node:28514,ls:fr:node:55145,nouvelle,accueillir
ls:fr:node:28527,ls:fr:node:32624,numéro,porter
ls:fr:node:28542,ls:fr:node:37381,occupation,s’occuper
ls:fr:node:28764,ls:fr:node:51425,peur,faire
ls:fr:node:28764,ls:fr:node:51426,peur,apeurer
ls:fr:node:28834,ls:fr:node:38679,pluie,être
ls:fr:node:28834,ls:fr:node:38831,pluie,essuyer
ls:fr:node:28834,ls:fr:node:41629,pluie,recevoir
ls:fr:node:28938,ls:fr:node:43932,prénom,avoir
ls:fr:node:28938,ls:fr:node:55302,prénom,porter
ls:fr:node:28938,ls:fr:node:41866,prénom,se prénommer
ls:fr:node:28938,ls:fr:node:37194,prénom,se nommer
ls:fr:node:28972,ls:fr:node:39248,problème,avoir
ls:fr:node:28972,ls:fr:node:56528,problème,faire face
ls:fr:node:29198,ls:fr:node:26854,repas,composer
ls:fr:node:29198,ls:fr:node:39411,repas,constituer
ls:fr:node:29968,ls:fr:node:39317,bien,faire
ls:fr:node:29968,ls:fr:node:26669,bien,causer
ls:fr:node:30552,ls:fr:node:26669,déception,causer
ls:fr:node:30552,ls:fr:node:37261,déception,infliger
ls:fr:node:30552,ls:fr:node:37264,déception,provoquer
ls:fr:node:30552,ls:fr:node:27009,déception,décevoir
ls:fr:node:30552,ls:fr:node:37266,déception,réserver
ls:fr:node:30718,ls:fr:node:29130,félicitations,recevoir
ls:fr:node:30857,ls:fr:node:43932,ami,avoir
ls:fr:node:30857,ls:fr:node:34026,ami,disposer
ls:fr:node:30857,ls:fr:node:43735,ami,posséder
ls:fr:node:30858,ls:fr:node:43932,ami,avoir
ls:fr:node:31057,ls:fr:node:41562,faveurs,bénéficier
ls:fr:node:33471,ls:fr:node:40211,antenne,passer
ls:fr:node:33471,ls:fr:node:41447,antenne,être
ls:fr:node:35109,ls:fr:node:43935,visite,avoir
ls:fr:node:35109,ls:fr:node:41629,visite,recevoir
ls:fr:node:35440,ls:fr:node:41548,exigence,exiger
ls:fr:node:38267,ls:fr:node:39700,forme,prendre
ls:fr:node:38365,ls:fr:node:38826,savon,prendre
ls:fr:node:38365,ls:fr:node:38973,savon,se prendre
ls:fr:node:38365,ls:fr:node:41629,savon,recevoir
ls:fr:node:38388,ls:fr:node:39052,corps,constituer
ls:fr:node:39156,ls:fr:node:29510,chantage,subir
ls:fr:node:39246,ls:fr:node:34765,famille,être
ls:fr:node:39532,ls:fr:node:38516,oreille,trouver
ls:fr:node:39532,ls:fr:node:34801,oreille,rencontrer
ls:fr:node:39595,ls:fr:node:34765,sport,être
ls:fr:node:39926,ls:fr:node:39134,toilette,faire
ls:fr:node:39926,ls:fr:node:41832,toilette,procéder
ls:fr:node:39927,ls:fr:node:39134,toilette,faire
ls:fr:node:39959,ls:fr:node:26181,toilette,accomplir
ls:fr:node:39959,ls:fr:node:35390,toilette,effectuer
ls:fr:node:39959,ls:fr:node:39134,toilette,faire
ls:fr:node:39959,ls:fr:node:41832,toilette,procéder
ls:fr:node:39959,ls:fr:node:40869,toilette,réaliser
ls:fr:node:39960,ls:fr:node:39134,toilette,faire
ls:fr:node:39960,ls:fr:node:41832,toilette,procéder
ls:fr:node:39960,ls:fr:node:40869,toilette,réaliser
ls:fr:node:40569,ls:fr:node:26434,oreilles,avoir
ls:fr:node:41198,ls:fr:node:34713,tragédie,vivre
ls:fr:node:41198,ls:fr:node:56528,tragédie,faire face
ls:fr:node:41978,ls:fr:node:39134,toilette,faire
ls:fr:node:41978,ls:fr:node:41832,toilette,procéder
ls:fr:node:42059,ls:fr:node:26891,lac,contenir
ls:fr:node:42147,ls:fr:node:38679,bocal,être
ls:fr:node:42586,ls:fr:node:38831,averse,essuyer
ls:fr:node:42586,ls:fr:node:29510,averse,subir
ls:fr:node:42697,ls:fr:node:38826,vent,prendre
ls:fr:node:42697,ls:fr:node:38973,vent,se prendre
ls:fr:node:42928,ls:fr:node:43974,éclair,avoir
ls:fr:node:42928,ls:fr:node:30350,éclair,briller
ls:fr:node:43664,ls:fr:node:43700,désert,connaître
ls:fr:node:43664,ls:fr:node:39838,désert,affronter
ls:fr:node:43711,ls:fr:node:41629,coup de coude,recevoir
ls:fr:node:44189,ls:fr:node:40300,repas,assister
ls:fr:node:44189,ls:fr:node:28668,repas,participer
ls:fr:node:45101,ls:fr:node:39509,couleur,faire
ls:fr:node:45101,ls:fr:node:45269,couleur,se faire
ls:fr:node:45136,ls:fr:node:44788,tempête,pris
ls:fr:node:45136,ls:fr:node:38831,tempête,essuyer
ls:fr:node:45136,ls:fr:node:29510,tempête,subir
ls:fr:node:45136,ls:fr:node:44789,tempête,surpris
ls:fr:node:45140,ls:fr:node:44952,tempête,tempêter
ls:fr:node:45790,ls:fr:node:54535,carton rouge,écoper
ls:fr:node:45790,ls:fr:node:38826,carton rouge,prendre
ls:fr:node:45790,ls:fr:node:41629,carton rouge,recevoir
ls:fr:node:45790,ls:fr:node:38973,carton rouge,se prendre
ls:fr:node:46139,ls:fr:node:43932,train,avoir
ls:fr:node:53502,ls:fr:node:48689,coup de feu,subir
ls:fr:node:53727,ls:fr:node:41629,coup de pied,recevoir
ls:fr:node:53774,ls:fr:node:42745,nausée,donner
ls:fr:node:53775,ls:fr:node:42745,nausée,donner
ls:fr:node:53909,ls:fr:node:29510,violence,subir
ls:fr:node:54105,ls:fr:node:39248,problème,avoir
ls:fr:node:54105,ls:fr:node:56528,problème,faire face
ls:fr:node:54926,ls:fr:node:43932,nom de famille,avoir
ls:fr:node:54926,ls:fr:node:55302,nom de famille,porter
ls:fr:node:54926,ls:fr:node:37194,nom de famille,se nommer
ls:fr:node:55301,ls:fr:node:43932,nom,avoir
ls:fr:node:55301,ls:fr:node:55302,nom,porter
ls:fr:node:55301,ls:fr:node:37194,nom,se nommer
ls:fr:node:55988,ls:fr:node:41629,coup de couteau,recevoir
ls:fr:node:55988,ls:fr:node:38826,coup de couteau,prendre
ls:fr:node:56392,ls:fr:node:43932,nom,avoir
ls:fr:node:56510,ls:fr:node:34713,conte de fées,vivre
ls:fr:node:56591,ls:fr:node:53627,haine,inspirer
ls:fr:node:56591,ls:fr:node:44107,haine,susciter
ls:fr:node:56702,ls:fr:node:27423,étonnement,étonner
ls:fr:node:56703,ls:fr:node:39248,souci,avoir
ls:fr:node:56703,ls:fr:node:56528,souci,faire face
