source,target,source_lexname,target_lexname,lexical_function
ls:fr:node:26427,ls:fr:node:42717,averse,tomber,Func0
ls:fr:node:26599,ls:fr:node:48162,cadavre,reposer,Func0
ls:fr:node:26599,ls:fr:node:38626,cadavre,gésir,Func0
ls:fr:node:27215,ls:fr:node:37166,éclair,se produire,Func0
ls:fr:node:27215,ls:fr:node:26566,éclair,briller,Func0
ls:fr:node:27215,ls:fr:node:44436,éclair,luire,Func0
ls:fr:node:27430,ls:fr:node:27429,être,être,Func0
ls:fr:node:27561,ls:fr:node:26928,fleuve,couler,Func0
ls:fr:node:28069,ls:fr:node:40484,lac,s’étendre,Func0
ls:fr:node:28069,ls:fr:node:43024,lac,s’étaler,Func0
ls:fr:node:28572,ls:fr:node:27757,orage,gronder,Func0
ls:fr:node:28834,ls:fr:node:42717,pluie,tomber,Func0
ls:fr:node:28904,ls:fr:node:30300,pouls,battre,Func0
ls:fr:node:28904,ls:fr:node:35721,pouls,cogner,Func0
ls:fr:node:29265,ls:fr:node:26928,rivière,couler,Func0
ls:fr:node:29291,ls:fr:node:31152,route,courir,Func0
ls:fr:node:29568,ls:fr:node:36771,tambour,résonner,Func0
ls:fr:node:29568,ls:fr:node:43559,tambour,vibrer,Func0
ls:fr:node:29600,ls:fr:node:44524,tempête,sévir,Func0
ls:fr:node:29600,ls:fr:node:44367,tempête,souffler,Func0
ls:fr:node:29600,ls:fr:node:43508,tempête,se déchaîner,Func0
ls:fr:node:29600,ls:fr:node:44719,tempête,faire rage,Func0
ls:fr:node:29655,ls:fr:node:27757,tonnerre,gronder,Func0
ls:fr:node:29655,ls:fr:node:31329,tonnerre,rouler,Func0
ls:fr:node:29655,ls:fr:node:43189,tonnerre,mugir,Func0
ls:fr:node:29658,ls:fr:node:44100,tornade,frapper,Func0
ls:fr:node:29658,ls:fr:node:43508,tornade,se déchaîner,Func0
ls:fr:node:29798,ls:fr:node:44367,vent,souffler,Func0
ls:fr:node:29798,ls:fr:node:56633,vent,passer,Func0
ls:fr:node:30732,ls:fr:node:33600,klaxon,retentir,Func0
ls:fr:node:30732,ls:fr:node:33599,klaxon,se faire entendre,Func0
ls:fr:node:32898,ls:fr:node:39429,course,avoir lieu,Func0
ls:fr:node:32898,ls:fr:node:33482,course,se dérouler,Func0
ls:fr:node:33931,ls:fr:node:38028,corps,reposer,Func0
ls:fr:node:33931,ls:fr:node:38626,corps,gésir,Func0
ls:fr:node:33967,ls:fr:node:27566,train,flotter,Func0
ls:fr:node:38912,ls:fr:node:48738,lessive,tourner,Func0
ls:fr:node:39326,ls:fr:node:56466,menace,rôder,Func0
ls:fr:node:39809,ls:fr:node:39429,marche,avoir lieu,Func0
ls:fr:node:39868,ls:fr:node:40484,lac,s’étendre,Func0
ls:fr:node:39868,ls:fr:node:41992,lac,se répandre,Func0
ls:fr:node:40891,ls:fr:node:40484,rivière,s’étendre,Func0
ls:fr:node:42568,ls:fr:node:44100,tornade,frapper,Func0
ls:fr:node:42568,ls:fr:node:43509,tornade,se déchaîner,Func0
ls:fr:node:42586,ls:fr:node:42717,averse,tomber,Func0
ls:fr:node:42593,ls:fr:node:42717,pluie,tomber,Func0
ls:fr:node:42595,ls:fr:node:42717,pluie,tomber,Func0
ls:fr:node:42696,ls:fr:node:44369,vent,souffler,Func0
ls:fr:node:42696,ls:fr:node:44370,vent,passer,Func0
ls:fr:node:42925,ls:fr:node:44346,éclair,luire,Func0
ls:fr:node:43591,ls:fr:node:40484,désert,s’étendre,Func0
ls:fr:node:43718,ls:fr:node:33600,coup,retentir,Func0
ls:fr:node:44189,ls:fr:node:39429,repas,avoir lieu,Func0
ls:fr:node:45136,ls:fr:node:44719,tempête,faire rage,Func0
ls:fr:node:47759,ls:fr:node:39429,visite,avoir lieu,Func0
ls:fr:node:47759,ls:fr:node:33482,visite,se dérouler,Func0
ls:fr:node:48070,ls:fr:node:44367,bise,souffler,Func0
ls:fr:node:48752,ls:fr:node:48162,cadavre,reposer,Func0
ls:fr:node:48752,ls:fr:node:38626,cadavre,gésir,Func0
ls:fr:node:49491,ls:fr:node:39429,avalanche,avoir lieu,Func0
ls:fr:node:49491,ls:fr:node:37166,avalanche,se produire,Func0
ls:fr:node:54105,ls:fr:node:41807,problème,y avoir,Func0
ls:fr:node:54489,ls:fr:node:41576,petite souris,passer,Func0
ls:fr:node:55490,ls:fr:node:55483,réactif,réagir,Func0
ls:fr:node:55521,ls:fr:node:55483,réactant,réagir,Func0
ls:fr:node:56703,ls:fr:node:41807,souci,y avoir,Func0
ls:fr:node:26824,ls:fr:node:34194,colline,se dresser,Func1
ls:fr:node:26824,ls:fr:node:34385,colline,s’élever,Func1
ls:fr:node:27084,ls:fr:node:40484,désert,s’étendre,Func1
ls:fr:node:27215,ls:fr:node:44437,éclair,sillonner,Func1
ls:fr:node:27215,ls:fr:node:44453,éclair,fendre,Func1
ls:fr:node:27215,ls:fr:node:44558,éclair,zébrer,Func1
ls:fr:node:27215,ls:fr:node:44452,éclair,déchirer,Func1
ls:fr:node:27215,ls:fr:node:27873,éclair,illuminer,Func1
ls:fr:node:27215,ls:fr:node:44559,éclair,embraser,Func1
ls:fr:node:27561,ls:fr:node:47880,fleuve,traverser,Func1
ls:fr:node:27561,ls:fr:node:31300,fleuve,arroser,Func1
ls:fr:node:28069,ls:fr:node:40645,lac,baigner,Func1
ls:fr:node:28219,ls:fr:node:44104,maladie,atteindre,Func1
ls:fr:node:28219,ls:fr:node:48560,maladie,affecter,Func1
ls:fr:node:28219,ls:fr:node:44100,maladie,frapper,Func1
ls:fr:node:28219,ls:fr:node:48561,maladie,toucher,Func1
ls:fr:node:28476,ls:fr:node:42717,neige,tomber,Func1
ls:fr:node:28476,ls:fr:node:48788,neige,neiger,Func1
ls:fr:node:28519,ls:fr:node:31074,nuage,flotter,Func1
ls:fr:node:28519,ls:fr:node:44722,nuage,planer,Func1
ls:fr:node:28519,ls:fr:node:31296,nuage,courir,Func1
ls:fr:node:28519,ls:fr:node:40888,nuage,dériver,Func1
ls:fr:node:28519,ls:fr:node:42850,nuage,filer,Func1
ls:fr:node:28519,ls:fr:node:44645,nuage,fuir,Func1
ls:fr:node:28519,ls:fr:node:41313,nuage,glisser,Func1
ls:fr:node:28519,ls:fr:node:56633,nuage,passer,Func1
ls:fr:node:28519,ls:fr:node:43547,nuage,traverser,Func1
ls:fr:node:29265,ls:fr:node:47880,rivière,traverser,Func1
ls:fr:node:29265,ls:fr:node:31300,rivière,arroser,Func1
ls:fr:node:29658,ls:fr:node:42791,tornade,s’abattre,Func1
ls:fr:node:29658,ls:fr:node:44099,tornade,balayer,Func1
ls:fr:node:29658,ls:fr:node:44104,tornade,atteindre,Func1
ls:fr:node:29658,ls:fr:node:44100,tornade,frapper,Func1
ls:fr:node:29658,ls:fr:node:47181,tornade,toucher,Func1
ls:fr:node:29658,ls:fr:node:56633,tornade,passer,Func1
ls:fr:node:29798,ls:fr:node:44367,vent,souffler,Func1
ls:fr:node:33318,ls:fr:node:29702,transports,transporter,Func1
ls:fr:node:38292,ls:fr:node:38644,chiffre,provenir,Func1
ls:fr:node:40823,ls:fr:node:32416,marche,composer,Func1
ls:fr:node:42694,ls:fr:node:44384,vent,s’échapper,Func1
ls:fr:node:42925,ls:fr:node:44347,éclair,passer,Func1
ls:fr:node:42925,ls:fr:node:44253,éclair,traverser,Func1
ls:fr:node:42925,ls:fr:node:44348,éclair,briller,Func1
ls:fr:node:42925,ls:fr:node:44349,éclair,flamboyer,Func1
ls:fr:node:42928,ls:fr:node:44253,éclair,traverser,Func1
ls:fr:node:43368,ls:fr:node:27873,soleil,illuminer,Func1
ls:fr:node:48966,ls:fr:node:44104,maladie,atteindre,Func1
ls:fr:node:48966,ls:fr:node:44100,maladie,frapper,Func1
ls:fr:node:48966,ls:fr:node:48561,maladie,toucher,Func1
ls:fr:node:49061,ls:fr:node:44104,maladie,atteindre,Func1
ls:fr:node:49061,ls:fr:node:44100,maladie,frapper,Func1
ls:fr:node:49061,ls:fr:node:48561,maladie,toucher,Func1
ls:fr:node:49295,ls:fr:node:45106,maladie,attaquer,Func1
ls:fr:node:49295,ls:fr:node:44104,maladie,atteindre,Func1
ls:fr:node:49295,ls:fr:node:48561,maladie,toucher,Func1
ls:fr:node:55857,ls:fr:node:34880,cordes,pleuvoir,Func1
ls:fr:node:55857,ls:fr:node:42717,cordes,tomber,Func1
ls:fr:node:26327,ls:fr:node:45407,appartement,comprendre,Func2
ls:fr:node:26327,ls:fr:node:32420,appartement,se composer,Func2
ls:fr:node:26327,ls:fr:node:38681,appartement,avoir,Func2
ls:fr:node:26327,ls:fr:node:32403,appartement,comporter,Func2
ls:fr:node:26327,ls:fr:node:31269,appartement,compter,Func2
ls:fr:node:26553,ls:fr:node:26891,bouteille,contenir,Func2
ls:fr:node:26553,ls:fr:node:42754,bouteille,renfermer,Func2
ls:fr:node:27342,ls:fr:node:35080,enveloppe,recouvrir,Func2
ls:fr:node:28219,ls:fr:node:45106,maladie,attaquer,Func2
ls:fr:node:28219,ls:fr:node:44104,maladie,atteindre,Func2
ls:fr:node:28219,ls:fr:node:48560,maladie,affecter,Func2
ls:fr:node:28219,ls:fr:node:48561,maladie,toucher,Func2
ls:fr:node:28572,ls:fr:node:42791,orage,s’abattre,Func2
ls:fr:node:28572,ls:fr:node:43538,orage,toucher,Func2
ls:fr:node:28834,ls:fr:node:42717,pluie,tomber,Func2
