source,target,source_lexname,target_lexname
ls:fr:node:26968,ls:fr:node:26181,crime,accomplir
ls:fr:node:27825,ls:fr:node:26181,hold-up,accomplir
ls:fr:node:47910,ls:fr:node:33605,manche,actionner
ls:fr:node:55397,ls:fr:node:26204,sacrement,administrer
ls:fr:node:36136,ls:fr:node:35246,injure,adresser
ls:fr:node:30718,ls:fr:node:35246,félicitations,adresser
ls:fr:node:36135,ls:fr:node:35246,insulte,adresser
ls:fr:node:38425,ls:fr:node:43785,visage,afficher
ls:fr:node:43272,ls:fr:node:39838,désert,affronter
ls:fr:node:56457,ls:fr:node:53053,Résistance,appartenir
ls:fr:node:38288,ls:fr:node:33677,corps,appartenir
ls:fr:node:56456,ls:fr:node:53053,résistance,appartenir
ls:fr:node:27348,ls:fr:node:33677,environnement,appartenir
ls:fr:node:28466,ls:fr:node:33677,nation,appartenir
ls:fr:node:30654,ls:fr:node:33677,majorité,appartenir
ls:fr:node:27497,ls:fr:node:33677,famille,appartenir
ls:fr:node:28865,ls:fr:node:44202,politique,appliquer
ls:fr:node:38386,ls:fr:node:47763,visage,arborer
ls:fr:node:45501,ls:fr:node:42692,cours,assurer
ls:fr:node:55988,ls:fr:node:45511,coup de couteau,asséner
ls:fr:node:40551,ls:fr:node:39551,route,avancer
ls:fr:node:41502,ls:fr:node:56691,les jambes molles,avoir
ls:fr:node:54165,ls:fr:node:56691,descente,avoir
ls:fr:node:30533,ls:fr:node:56691,admiration,avoir
ls:fr:node:41461,ls:fr:node:56691,syndrome des jambes sans repos,avoir
ls:fr:node:39696,ls:fr:node:56691,oreille absolue,avoir
ls:fr:node:54206,ls:fr:node:56691,le cul entre deux chaises,avoir
ls:fr:node:30684,ls:fr:node:56691,mécontentement,avoir
ls:fr:node:28764,ls:fr:node:56691,peur,avoir
ls:fr:node:31096,ls:fr:node:43932,brosse,avoir
ls:fr:node:47651,ls:fr:node:56691,sommeil,avoir
ls:fr:node:42179,ls:fr:node:38681,couleur,avoir
ls:fr:node:42174,ls:fr:node:43932,couleurs,avoir
ls:fr:node:30950,ls:fr:node:56691,répugnance,avoir
ls:fr:node:47729,ls:fr:node:56691,visite médicale,avoir
ls:fr:node:28219,ls:fr:node:56691,maladie,avoir
ls:fr:node:30931,ls:fr:node:43932,coup de soleil,avoir
ls:fr:node:54321,ls:fr:node:56691,emprise,avoir
ls:fr:node:34040,ls:fr:node:56691,distinction,avoir
ls:fr:node:40390,ls:fr:node:56691,coup de cœur,avoir
ls:fr:node:31696,ls:fr:node:56691,certitude,avoir
ls:fr:node:45770,ls:fr:node:56691,angine,avoir
ls:fr:node:42133,ls:fr:node:56691,mal du pays,avoir
ls:fr:node:30552,ls:fr:node:56691,déception,avoir
ls:fr:node:41663,ls:fr:node:26434,fond,avoir
ls:fr:node:41556,ls:fr:node:43974,politique,avoir
ls:fr:node:28921,ls:fr:node:26434,pouvoir,avoir
ls:fr:node:32378,ls:fr:node:56691,casserole,avoir
ls:fr:node:30913,ls:fr:node:56691,gratitude,avoir
ls:fr:node:30876,ls:fr:node:56691,excuse,avoir
ls:fr:node:41217,ls:fr:node:56691,le feu aux fesses,avoir
ls:fr:node:53960,ls:fr:node:26434,beaux restes,avoir
ls:fr:node:53806,ls:fr:node:56691,bronchite,avoir
ls:fr:node:53956,ls:fr:node:56691,pneumonie,avoir
ls:fr:node:52530,ls:fr:node:56691,frayeur,avoir
ls:fr:node:53920,ls:fr:node:56691,accident vasculaire cérébral,avoir
ls:fr:node:38604,ls:fr:node:56691,mains propres,avoir
ls:fr:node:46513,ls:fr:node:43932,bras long,avoir
ls:fr:node:38389,ls:fr:node:43932,corps,avoir
ls:fr:node:40575,ls:fr:node:56691,coup d’œil,avoir
ls:fr:node:51397,ls:fr:node:43974,honneurs de la presse,avoir
ls:fr:node:40460,ls:fr:node:56691,coup de chaleur,avoir
ls:fr:node:52009,ls:fr:node:56691,plaisir,avoir
ls:fr:node:46897,ls:fr:node:56691,poids,avoir
ls:fr:node:30720,ls:fr:node:56691,fierté,avoir
ls:fr:node:29721,ls:fr:node:56691,tristesse,avoir
ls:fr:node:29593,ls:fr:node:26434,téléphone,avoir
ls:fr:node:41400,ls:fr:node:56691,fourmis dans les jambes,avoir
ls:fr:node:33796,ls:fr:node:43932,cheveu,avoir
ls:fr:node:30002,ls:fr:node:38681,air,avoir
ls:fr:node:28964,ls:fr:node:56691,priorité,avoir
ls:fr:node:28011,ls:fr:node:43932,jambes,avoir
ls:fr:node:54100,ls:fr:node:43932,deux poids et deux mesures,avoir
ls:fr:node:29079,ls:fr:node:56691,rage,avoir
ls:fr:node:54068,ls:fr:node:56691,bon pied bon œil,avoir
ls:fr:node:29251,ls:fr:node:56691,rhumatisme,avoir
ls:fr:node:54067,ls:fr:node:56691,bougeotte,avoir
ls:fr:node:29252,ls:fr:node:56691,rhume,avoir
ls:fr:node:40449,ls:fr:node:56691,coup de froid,avoir
ls:fr:node:30514,ls:fr:node:56691,effroi,avoir
ls:fr:node:41103,ls:fr:node:56691,vingtaine,avoir
ls:fr:node:38386,ls:fr:node:38681,visage,avoir
ls:fr:node:29383,ls:fr:node:56691,sentiment,avoir
ls:fr:node:53987,ls:fr:node:56691,atomes crochus,avoir
ls:fr:node:49268,ls:fr:node:56691,maladie honteuse,avoir
ls:fr:node:53774,ls:fr:node:56691,nausée,avoir
ls:fr:node:50140,ls:fr:node:56691,coup de sang,avoir
ls:fr:node:42642,ls:fr:node:56691,ressemblance,avoir
ls:fr:node:28009,ls:fr:node:56691,jalousie,avoir
ls:fr:node:26625,ls:fr:node:56691,cancer,avoir
ls:fr:node:53262,ls:fr:node:56691,mépris,avoir
ls:fr:node:48469,ls:fr:node:56691,pêche,avoir
ls:fr:node:26698,ls:fr:node:56691,chagrin,avoir
ls:fr:node:35856,ls:fr:node:56691,goutte,avoir
ls:fr:node:50642,ls:fr:node:56691,tuberculose,avoir
ls:fr:node:30612,ls:fr:node:56691,aversion,avoir
ls:fr:node:30959,ls:fr:node:56691,répulsion,avoir
ls:fr:node:56472,ls:fr:node:56691,empathie,avoir
ls:fr:node:40330,ls:fr:node:56691,coup dans le nez,avoir
ls:fr:node:26742,ls:fr:node:43932,cheveux,avoir
ls:fr:node:26814,ls:fr:node:56691,colère,avoir
ls:fr:node:56425,ls:fr:node:56691,rêve,avoir
ls:fr:node:51127,ls:fr:node:56691,compassion,avoir
ls:fr:node:30596,ls:fr:node:56691,émoi,avoir
ls:fr:node:43802,ls:fr:node:56691,petit vélo dans la tête,avoir
ls:fr:node:56476,ls:fr:node:56691,apitoiement,avoir
ls:fr:node:56544,ls:fr:node:43932,cornes,avoir
ls:fr:node:56702,ls:fr:node:56691,étonnement,avoir
ls:fr:node:26292,ls:fr:node:56691,amour,avoir
ls:fr:node:56701,ls:fr:node:56691,ictère,avoir
ls:fr:node:56700,ls:fr:node:56691,jaunisse,avoir
ls:fr:node:56697,ls:fr:node:56691,maladie vénérienne,avoir
ls:fr:node:56694,ls:fr:node:56691,maladie mentale,avoir
ls:fr:node:37496,ls:fr:node:56691,orgueil,avoir
ls:fr:node:52874,ls:fr:node:56691,satisfaction,avoir
ls:fr:node:44024,ls:fr:node:56691,dents longues,avoir
ls:fr:node:44023,ls:fr:node:56691,dent dure,avoir
