source,target,source_lexname,target_lexname
ls:fr:node:26427,ls:fr:node:42717,averse,tomber
ls:fr:node:26599,ls:fr:node:48162,cadavre,reposer
ls:fr:node:26599,ls:fr:node:38626,cadavre,gésir
ls:fr:node:27215,ls:fr:node:37166,éclair,se produire
ls:fr:node:27215,ls:fr:node:26566,éclair,briller
ls:fr:node:27215,ls:fr:node:44436,éclair,luire
ls:fr:node:27430,ls:fr:node:27429,être,être
ls:fr:node:27561,ls:fr:node:26928,fleuve,couler
ls:fr:node:28069,ls:fr:node:40484,lac,s’étendre
ls:fr:node:28069,ls:fr:node:43024,lac,s’étaler
ls:fr:node:28572,ls:fr:node:27757,orage,gronder
ls:fr:node:28834,ls:fr:node:42717,pluie,tomber
ls:fr:node:28904,ls:fr:node:30300,pouls,battre
ls:fr:node:28904,ls:fr:node:35721,pouls,cogner
ls:fr:node:29265,ls:fr:node:26928,rivière,couler
ls:fr:node:29291,ls:fr:node:31152,route,courir
ls:fr:node:29568,ls:fr:node:36771,tambour,résonner
ls:fr:node:29568,ls:fr:node:43559,tambour,vibrer
ls:fr:node:29600,ls:fr:node:44524,tempête,sévir
ls:fr:node:29600,ls:fr:node:44367,tempête,souffler
ls:fr:node:29600,ls:fr:node:43508,tempête,se déchaîner
ls:fr:node:29600,ls:fr:node:44719,tempête,faire rage
ls:fr:node:29655,ls:fr:node:27757,tonnerre,gronder
ls:fr:node:29655,ls:fr:node:31329,tonnerre,rouler
ls:fr:node:29655,ls:fr:node:43189,tonnerre,mugir
ls:fr:node:29658,ls:fr:node:44100,tornade,frapper
ls:fr:node:29658,ls:fr:node:43508,tornade,se déchaîner
ls:fr:node:29798,ls:fr:node:44367,vent,souffler
ls:fr:node:29798,ls:fr:node:56633,vent,passer
ls:fr:node:30732,ls:fr:node:33600,klaxon,retentir
ls:fr:node:30732,ls:fr:node:33599,klaxon,se faire entendre
ls:fr:node:32898,ls:fr:node:39429,course,avoir lieu
ls:fr:node:32898,ls:fr:node:33482,course,se dérouler
ls:fr:node:33931,ls:fr:node:38028,corps,reposer
ls:fr:node:33931,ls:fr:node:38626,corps,gésir
ls:fr:node:33967,ls:fr:node:27566,train,flotter
ls:fr:node:38912,ls:fr:node:48738,lessive,tourner
ls:fr:node:39326,ls:fr:node:56466,menace,rôder
ls:fr:node:39809,ls:fr:node:39429,marche,avoir lieu
ls:fr:node:39868,ls:fr:node:40484,lac,s’étendre
ls:fr:node:39868,ls:fr:node:41992,lac,se répandre
ls:fr:node:40891,ls:fr:node:40484,rivière,s’étendre
ls:fr:node:42568,ls:fr:node:44100,tornade,frapper
ls:fr:node:42568,ls:fr:node:43509,tornade,se déchaîner
ls:fr:node:42586,ls:fr:node:42717,averse,tomber
ls:fr:node:42593,ls:fr:node:42717,pluie,tomber
ls:fr:node:42595,ls:fr:node:42717,pluie,tomber
ls:fr:node:42696,ls:fr:node:44369,vent,souffler
ls:fr:node:42696,ls:fr:node:44370,vent,passer
ls:fr:node:42925,ls:fr:node:44346,éclair,luire
ls:fr:node:43591,ls:fr:node:40484,désert,s’étendre
ls:fr:node:43718,ls:fr:node:33600,coup,retentir
ls:fr:node:44189,ls:fr:node:39429,repas,avoir lieu
ls:fr:node:45136,ls:fr:node:44719,tempête,faire rage
ls:fr:node:47759,ls:fr:node:39429,visite,avoir lieu
ls:fr:node:47759,ls:fr:node:33482,visite,se dérouler
ls:fr:node:48070,ls:fr:node:44367,bise,souffler
ls:fr:node:48752,ls:fr:node:48162,cadavre,reposer
ls:fr:node:48752,ls:fr:node:38626,cadavre,gésir
ls:fr:node:49491,ls:fr:node:39429,avalanche,avoir lieu
ls:fr:node:49491,ls:fr:node:37166,avalanche,se produire
ls:fr:node:54105,ls:fr:node:41807,problème,y avoir
ls:fr:node:54489,ls:fr:node:41576,petite souris,passer
ls:fr:node:55490,ls:fr:node:55483,réactif,réagir
ls:fr:node:55521,ls:fr:node:55483,réactant,réagir
ls:fr:node:56703,ls:fr:node:41807,souci,y avoir
