source,target,source_lexname,target_lexname
ls:fr:node:42595,ls:fr:node:39838,pluie,affronter
ls:fr:node:42595,ls:fr:node:38831,pluie,essuyer
ls:fr:node:45140,ls:fr:node:38831,tempête,essuyer
ls:fr:node:27791,ls:fr:node:53627,haine,inspirer
ls:fr:node:54539,ls:fr:node:47734,bilan,passer
ls:fr:node:27791,ls:fr:node:37264,haine,provoquer
ls:fr:node:42595,ls:fr:node:41629,pluie,recevoir
ls:fr:node:45140,ls:fr:node:29510,tempête,subir
ls:fr:node:27791,ls:fr:node:44107,haine,susciter
ls:fr:node:30718,ls:fr:node:34767,félicitations,valoir
ls:fr:node:45790,ls:fr:node:34767,carton rouge,valoir
